sequence_id,source,n_frames,loop,size,row,frame_idx,shadow,iou_reported,iou,dice,boundary_iou,nsd,chamfer,hd95,cldice,hu_distance,fourier_distance,d_betti0,d_betti1,betti_error,pw_h0,pw_h1,n_limbs_target,n_limbs_shadow,limb_offset_rel,limbs_unmatched,tc_iou,tc_aspect_target,tc_aspect_shadow,tc_aspect_error,step_to,dq_max_deg,dq_l2_deg,dq_infeasible,shadow_step_iou,target_step_iou,motion_excess,n_transitions,iou_reported_mean,iou_reported_min,iou_reported_max,iou_reported_std,iou_mean,iou_min,iou_max,iou_std,dice_mean,dice_min,dice_max,dice_std,boundary_iou_mean,boundary_iou_min,boundary_iou_max,boundary_iou_std,nsd_mean,nsd_min,nsd_max,nsd_std,chamfer_mean,chamfer_min,chamfer_max,chamfer_std,hd95_mean,hd95_min,hd95_max,hd95_std,cldice_mean,cldice_min,cldice_max,cldice_std,hu_distance_mean,hu_distance_min,hu_distance_max,hu_distance_std,fourier_distance_mean,fourier_distance_min,fourier_distance_max,fourier_distance_std,d_betti0_mean,d_betti0_min,d_betti0_max,d_betti0_std,d_betti1_mean,d_betti1_min,d_betti1_max,d_betti1_std,betti_error_mean,betti_error_min,betti_error_max,betti_error_std,pw_h0_mean,pw_h0_min,pw_h0_max,pw_h0_std,pw_h1_mean,pw_h1_min,pw_h1_max,pw_h1_std,n_limbs_target_mean,n_limbs_target_min,n_limbs_target_max,n_limbs_target_std,n_limbs_shadow_mean,n_limbs_shadow_min,n_limbs_shadow_max,n_limbs_shadow_std,limb_offset_rel_mean,limb_offset_rel_min,limb_offset_rel_max,limb_offset_rel_std,limbs_unmatched_mean,limbs_unmatched_min,limbs_unmatched_max,limbs_unmatched_std,tc_iou_mean,tc_iou_min,tc_iou_max,tc_iou_std,tc_aspect_target_mean,tc_aspect_target_min,tc_aspect_target_max,tc_aspect_target_std,tc_aspect_shadow_mean,tc_aspect_shadow_min,tc_aspect_shadow_max,tc_aspect_shadow_std,tc_aspect_error_mean,tc_aspect_error_min,tc_aspect_error_max,tc_aspect_error_std,dq_max_deg_mean,dq_max_deg_min,dq_max_deg_max,dq_max_deg_std,dq_l2_deg_mean,dq_l2_deg_min,dq_l2_deg_max,dq_l2_deg_std,shadow_step_iou_mean,shadow_step_iou_min,shadow_step_iou_max,shadow_step_iou_std,target_step_iou_mean,target_step_iou_min,target_step_iou_max,target_step_iou_std,motion_excess_mean,motion_excess_min,motion_excess_max,motion_excess_std,dq_infeasible_frac,dq_infeasible_thr_deg,fit_scale,fit_dx,fit_dy,fit_clip_frac,fit_at_bound,assignment_stability,n_arm_swaps,total_path_length_deg,dq_max_deg_by_transition
demo_01_scene_01_I,optimizer,10,0,128,frame,0,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_01_20260902_015428/best_shadow.png,0.668,0.2375,0.3838,0.0398,0.0684,0.04587,0.12097,0.2895,1.1643,0.2082,0,0,0,0.02278,0.03516,2,2,0.1181,0,0.6854,0.4722,0.5373,0.1378,0->1,1.62,1.8,0,0.9893,0.9987,0.0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,1,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_02_20260902_015428/best_shadow.png,0.6723,0.2373,0.3836,0.0422,0.064,0.04622,0.12097,0.2907,1.4004,0.2265,0,0,0,0.02278,0.02734,2,2,0.1111,0,0.6763,0.4722,0.5522,0.1694,1->2,35.64,38.18,0,0.8687,0.7863,-0.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,2,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_03_20260902_015428/best_shadow.png,0.6804,0.2344,0.3798,0.0394,0.0554,0.04774,0.12885,0.2651,1.2685,0.1624,0,0,0,0.02366,0.01953,2,2,0.1217,0,0.7284,0.4675,0.4783,0.0229,2->3,26.98,36.86,0,0.8353,0.812,-0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,3,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_04_20260902_015428/best_shadow.png,0.6861,0.2667,0.4211,0.0365,0.0569,0.04822,0.13432,0.4213,0.865,0.1499,0,0,0,0.02882,0.01953,2,2,0.1294,0,0.7107,0.4524,0.4384,0.031,3->4,21.11,27.61,0,0.8352,0.7674,-0.0678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,4,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_05_20260902_015428/best_shadow.png,0.6578,0.2678,0.4224,0.0384,0.0563,0.04872,0.14084,0.3106,2.5604,0.0985,0,0,0,0.01861,0.02343,3,2,0.1363,1,0.6689,0.4396,0.425,0.0331,4->5,18.15,21.54,0,0.8894,0.8263,-0.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,5,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_06_20260902_015428/best_shadow.png,0.658,0.265,0.419,0.0529,0.0776,0.04805,0.14286,0.3466,2.79,0.1096,0,0,0,0.03407,0.03906,3,2,0.1354,1,0.6845,0.4479,0.4217,0.0586,5->6,14.85,30.81,0,0.8454,0.7864,-0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,6,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_07_20260902_015428/best_shadow.png,0.6575,0.239,0.3858,0.0199,0.0359,0.05381,0.16075,0.2812,3.5363,0.0823,0,0,0,0.02802,0.0,3,3,0.1464,0,0.6795,0.4563,0.3913,0.1425,6->7,7.26,10.34,0,0.8676,0.8608,-0.0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,7,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_08_20260902_015428/best_shadow.png,0.645,0.2858,0.4446,0.0445,0.0689,0.04717,0.16212,0.4429,3.2731,0.1067,0,0,0,0.03203,0.05466,3,3,0.1429,0,0.6457,0.4486,0.3854,0.1408,7->8,20.03,27.16,0,0.9017,0.8565,-0.0452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,8,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_09_20260902_015428/best_shadow.png,0.6512,0.2918,0.4517,0.0319,0.0696,0.05001,0.16801,0.4957,3.5044,0.1353,0,0,0,0.02961,0.00781,3,4,0.1343,1,0.6058,0.4727,0.3654,0.2271,8->9,9.11,11.37,0,0.9018,0.9992,0.0974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demo_01_scene_01_I,optimizer,10,0,128,frame,9,C:/Users/hexia/Documents/GitHub/umbra-bench/optimized/demo_01_scene_01_I/frame_10_20260902_015428/best_shadow.png,0.6539,0.2761,0.4327,0.0428,0.0798,0.0499,0.16007,0.3783,4.0797,0.148,0,0,0,0.03043,0.02734,3,3,0.1287,0,0.5807,0.4727,0.3832,0.1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
